shortcode,post_date,post_url,display_url,like_and_view_counts_disabled,likes,is_paid_partnership,location,city,exact_city_match,lattitude,longitude,geo_city,geo_state,geo_country,is_video,is_verified,is_private,img_path,img_lables,img_lable_scores
CXioTtssI3H,12/16/2021,https://www.instagram.com/p/CXioTtssI3H/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267969265_459608285684309_1346244176342673778_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=ZwMSSoxmWycAX-gLtUJ&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9fqbuK7PymuZHgS74gOZ1upJqfmp6v0AD4hf9gLZTiQg&oe=61CC2616&_nc_sid=83d603,False,430,False,"Taormina, Sicily",Taormina,False,37.852064,15.286985,Taormina,SICILY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXioTtssI3H.jpg,sky building neighbourhood wall public-space city road facade umbrella market,"[['Sky', 0.9394731521606445], ['Building', 0.8882423043251038], ['Neighbourhood', 0.821139395236969], ['Wall', 0.8125128746032715], ['Public-space', 0.8106409907341003], ['City', 0.7992790341377258], ['Road', 0.785348117351532], ['Facade', 0.7755213379859924], ['Umbrella', 0.7740412354469299], ['Market', 0.7709429264068604]]"
CXhNNwrMdna,2021-12-16,https://www.instagram.com/p/CXhNNwrMdna/,https://instagram.fdel27-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/267294617_732389677730447_6543845514111248594_n.jpg?_nc_ht=instagram.fdel27-4.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Xl576ct8snAAX8sE2nw&tn=5SGrGGbEjo26VFWK&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8HQ0LuJyw1ivXDwzSsWp84_MVAoNOCmjYxt-3LhvCDtA&oe=61D108C2&_nc_sid=83d603,False,129,False,"Palermo, Italy","Palermo, Italy",True,38.11127,13.353442,Palermo,SICILY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXhNNwrMdna.jpg,building symmetry art fixture ceiling vault facade arcade arch religious-institute,"[['Building', 0.920830488204956], ['Symmetry', 0.7927278280258179], ['Art', 0.7917803525924683], ['Fixture', 0.7855879068374634], ['Ceiling', 0.7854537963867188], ['Vault', 0.7678300142288208], ['Facade', 0.7586511373519897], ['Arcade', 0.7378302812576294], ['Arch', 0.7335636019706726], ['Religious-institute', 0.717024028301239]]"
CXggNCbM6Y2,12/15/2021,https://www.instagram.com/p/CXggNCbM6Y2/,https://instagram.fdel1-5.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/267200875_2206473816158340_8240847019688823315_n.jpg?_nc_ht=instagram.fdel1-5.fna.fbcdn.net&_nc_cat=100&_nc_ohc=XnaW0VCsXlUAX8BIKNI&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8bYPPcAWIDXw3w2VuHnKsJHrBLF_er0HwYIiVmkrT_jQ&oe=61C16BFA&_nc_sid=83d603,False,4,False,Parrocchia Santa Maria di Pompei,"Messina, Italy",False,38.193757,15.554208,Messina,SICILY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXggNCbM6Y2.jpg,sky building temple tree facade symmetry temple art chapel religious-institute,"[['Sky', 0.9666773676872253], ['Building', 0.9425897598266602], ['Temple', 0.87382972240448], ['Tree', 0.8122299909591675], ['Facade', 0.7954750061035156], ['Symmetry', 0.7875918745994568], ['Temple', 0.7825811505317688], ['Art', 0.7645767331123352], ['Chapel', 0.7275529503822327], ['Religious-institute', 0.7271690368652344]]"
CXgfteFKBOP,12/15/2021,https://www.instagram.com/p/CXgfteFKBOP/,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/267342633_119099603934709_5459853718957724217_n.jpg?_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=D4eAr8kmwGUAX_A8RKT&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_ibxs3ijsgfJsHMpHWuYRow6uyZVLXtuIWHw3_9lOY4Q&oe=61C0889A&_nc_sid=83d603,False,18,False,,,,,,,,,False,True,False,C:\Docs\kitts\data\dump\italygram\Images\CXgfteFKBOP.jpg,christmas-tree light sky world electricity lighting christmas-decoration evergreen building street-light,"[['Christmas-tree', 0.9758890867233276], ['Light', 0.9130006432533264], ['Sky', 0.8958792090415955], ['World', 0.8872395753860474], ['Electricity', 0.8682413697242737], ['Lighting', 0.8633947968482971], ['Christmas-decoration', 0.8175443410873413], ['Evergreen', 0.8119397163391113], ['Building', 0.7936497926712036], ['Street-light', 0.791731595993042]]"
CXgfjh8M-A8,12/15/2021,https://www.instagram.com/p/CXgfjh8M-A8/,https://instagram.fdel27-4.fna.fbcdn.net/v/t51.2885-15/e35/267745005_1826334594216527_6468836131437178156_n.jpg?_nc_ht=instagram.fdel27-4.fna.fbcdn.net&_nc_cat=111&_nc_ohc=sifJhizcPCEAX-9GwyY&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_du4ypPf_JPEx3ngFek7L3AG8ZETMJp0VsDsZmzqMOVA&oe=61C06F06&_nc_sid=83d603,False,0,False,Piazza Gae Aulenti - Milano,"Milan, Italy",False,45.466797,9.190498,Milan,LOMBARDY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgfjh8M-A8.jpg,sky light world building midnight tints-and-shades city urban-design facade darkness,"[['Sky', 0.9200060963630676], ['Light', 0.9110000729560852], ['World', 0.8956436514854431], ['Building', 0.8454127311706543], ['Midnight', 0.7763063907623291], ['Tints-and-shades', 0.7718397974967957], ['City', 0.7640671730041504], ['Urban-design', 0.753982663154602], ['Facade', 0.7422882914543152], ['Darkness', 0.7262294888496399]]"
CXgfgFyM2ue,12/15/2021,https://www.instagram.com/p/CXgfgFyM2ue/,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/e35/267074432_447960786847561_3756871686751506513_n.jpg?_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=WcrO58DeX8cAX-23Zjd&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9R_ZPkNDAtwVZ2QXoa87WbSQ8k-yHtLwNj6qZuFLTsiw&oe=61C19100&_nc_sid=83d603,False,8,False,"Florence, Italy","Florence, Italy",True,43.769871,11.255576,Florence,TUSCANY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgfgFyM2ue.jpg,cloud sky water photograph street-light flash-photography sleeve standing travel happy,"[['Cloud', 0.9780753254890442], ['Sky', 0.9673660397529602], ['Water', 0.9651411175727844], ['Photograph', 0.9422361850738525], ['Street-light', 0.9062798619270325], ['Flash-photography', 0.8730903267860413], ['Sleeve', 0.8724468946456909], ['Standing', 0.8642165660858154], ['Travel', 0.862975537776947], ['Happy', 0.8628462553024292]]"
CXgf_GWoa-O,12/15/2021,https://www.instagram.com/p/CXgf_GWoa-O/,https://instagram.fdel27-4.fna.fbcdn.net/v/t51.2885-15/e35/267626966_2026746730820850_8790947785892245295_n.jpg?_nc_ht=instagram.fdel27-4.fna.fbcdn.net&_nc_cat=106&_nc_ohc=eaRARVrLgFMAX9n7T9V&tn=TfjR3nmJo6PlXdtl&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-08ASRuazXcsCNnXqOn8Hv3C_dFEZGoLl7bJQ7LN6X_w&oe=61C1E973&_nc_sid=83d603,False,17,False,Piazza Venezia Altare Della Patria,"Rome, Italy",False,41.893344,12.483072,Rome,LAZIO,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgf_GWoa-O.jpg,sky atmosphere building world plant dusk tree street-light arecales sunset,"[['Sky', 0.9699558615684509], ['Atmosphere', 0.9481807947158813], ['Building', 0.9230870008468628], ['World', 0.9225280284881592], ['Plant', 0.8908672332763672], ['Dusk', 0.8880271315574646], ['Tree', 0.8686673045158386], ['Street-light', 0.8304277062416077], ['Arecales', 0.8097313642501831], ['Sunset', 0.7943687438964844]]"
CXgfY2bo_GH,12/15/2021,https://www.instagram.com/p/CXgfY2bo_GH/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267285497_485789409633285_7952804821108351601_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=XmR-egbuehYAX_gmLjA&tn=TfjR3nmJo6PlXdtl&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_9BEkyDosUoX9QmWyNkescg62J-bHh5I7M0r7o3SMNFQ&oe=61C1BF0B&_nc_sid=83d603,False,7,False,Lago d'Orta,Orta San Giulio,False,45.797872,8.418624,Orta San Giulio,PIEMONT,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgfY2bo_GH.jpg,car building vehicle automotive-lighting plant window infrastructure road-surface lighting automotive-design,"[['Car', 0.9698567986488342], ['Building', 0.955698549747467], ['Vehicle', 0.9531345367431641], ['Automotive-lighting', 0.922320544719696], ['Plant', 0.9143605828285217], ['Window', 0.9049625992774963], ['Infrastructure', 0.8998033404350281], ['Road-surface', 0.8937389850616455], ['Lighting', 0.8638371825218201], ['Automotive-design', 0.8606507182121277]]"
CXgfBbCKUo2,12/15/2021,https://www.instagram.com/p/CXgfBbCKUo2/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/267162060_302062975261807_8611829430030170525_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ehXdp01QLckAX_3-YhD&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8ZNUdXZYXmGEV_qSvOIRA_sav0oULtx4XLyw92MZlAeQ&oe=61C1B18C&_nc_sid=83d603,False,8,False,Lecco,Lecco,True,45.900549,9.412025,,LOMBARDY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgfBbCKUo2.jpg,cloud water boat sky watercraft mountain lake mast afterglow sailboat,"[['Cloud', 0.9826809167861938], ['Water', 0.978776216506958], ['Boat', 0.9779083132743835], ['Sky', 0.9731128215789795], ['Watercraft', 0.9478502869606018], ['Mountain', 0.9418800473213196], ['Lake', 0.8558055758476257], ['Mast', 0.8539444804191589], ['Afterglow', 0.8533372282981873], ['Sailboat', 0.8481079936027527]]"
CXgf8H9s6mF,12/15/2021,https://www.instagram.com/p/CXgf8H9s6mF/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267632679_591907418567146_1280367575393783969_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=dPPoyzoKhtMAX91M9ZL&tn=TfjR3nmJo6PlXdtl&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9n_e1matXwAAOmdb1qTfLgSV9spuX4MjoBNqC49DaIlA&oe=61C0A3D7&_nc_sid=83d603,False,29,False,Italy,,False,43.524673,12.1605,,,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXgf8H9s6mF.jpg,tire window building photograph white automotive-lighting automotive-tire light vehicle green,"[['Tire', 0.9533132910728455], ['Window', 0.9456455707550049], ['Building', 0.9434344172477722], ['Photograph', 0.9428871273994446], ['White', 0.9218854904174805], ['Automotive-lighting', 0.9182738661766052], ['Automotive-tire', 0.9113653302192688], ['Light', 0.9111340045928955], ['Vehicle', 0.907507061958313], ['Green', 0.9054427146911621]]"
