shortcode,post_date,post_url,display_url,like_and_view_counts_disabled,likes,is_paid_partnership,location,city,exact_city_match,lattitude,longitude,geo_city,geo_state,geo_country,is_video,is_verified,is_private,img_path,img_lables,img_lable_scores,sunset,places,art,beach,snow,mountain,shopping,food,history,fun,transport,water,chirstmas,happy,extra15
CXVsf8gs0vJ,2021-11-12,https://www.instagram.com/p/CXVsf8gs0vJ/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266021190_277997457634541_7127069535602307489_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=BWTjm52Y-8sAX9B5n4J&tn=r27mP5C9wJBwQkU4&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-KjI1mwT7-rSvyIsH8Oy42yWlyccKjSzy7-MpQoGlR8w&oe=61CB0AF7&_nc_sid=83d603,False,141,False,Sri Lanka,,False,7.3434,80.719398,,,LK,False,False,False,C:\Docs\kitts\data\dump\italytour\Images\CXVsf8gs0vJ.jpg,cloud sky water daytime plant nature arecales tree beach woody-plant,"[['Cloud', 0.9814123511314392], ['Sky', 0.9768829345703125], ['Water', 0.9732826352119446], ['Daytime', 0.9454428553581238], ['Plant', 0.9370369911193848], ['Nature', 0.8999348282814026], ['Arecales', 0.862324595451355], ['Tree', 0.8574360013008118], ['Beach', 0.8428981900215149], ['Woody-plant', 0.8046877980232239]]",False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
CXVpVfcPBMx,2021-11-12,https://www.instagram.com/p/CXVpVfcPBMx/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/266758073_577765999954673_6515781694138122451_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=I_vaYHpmW8sAX_KWxJT&edm=AABBvjUBAAAA&ccb=7-4&oh=539c840611fa15e165e3fc75c332228f&oe=61BC4AB9&_nc_sid=83d603,False,500,False,Lake Iseo,"Iseo, Lombardia, Italy",False,45.659555,10.051049,Iseo,LOMBARDY,IT,False,False,False,C:\Docs\kitts\data\dump\italytourism\Images\CXVpVfcPBMx.jpg,water cloud sky plant tree natural-landscape building lake house coastal-and-oceanic-landforms,"[['Water', 0.981756329536438], ['Cloud', 0.9780104160308838], ['Sky', 0.9655988812446594], ['Plant', 0.9465878009796143], ['Tree', 0.8837558031082153], ['Natural-landscape', 0.8789916038513184], ['Building', 0.8617178797721863], ['Lake', 0.8605287671089172], ['House', 0.8406680226325989], ['Coastal-and-oceanic-landforms', 0.8239871263504028]]",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CXVmXG6q70h,2021-11-12,https://www.instagram.com/p/CXVmXG6q70h/,https://instagram.fdel27-3.fna.fbcdn.net/v/t51.2885-15/e35/266018055_211801107785668_7284426707459050066_n.jpg?_nc_ht=instagram.fdel27-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=QuzdWR5B0P0AX_ZE6WN&edm=AABBvjUBAAAA&ccb=7-4&oh=cd3c2a499dd93b0c53fa472f7f7e2f2b&oe=61BD00C9&_nc_sid=83d603,False,137,False,Prato della Valle,"Padua, Italy",False,45.407717,11.873446,Padua,VENETO,IT,False,False,False,C:\Docs\kitts\data\dump\italy_vacations\Images\CXVmXG6q70h.jpg,sky plant cloud daytime photograph building world green nature street-light,"[['Sky', 0.9633734226226807], ['Plant', 0.955589234828949], ['Cloud', 0.9484859108924866], ['Daytime', 0.9466560482978821], ['Photograph', 0.94156414270401], ['Building', 0.9336068034172058], ['World', 0.9327746033668518], ['Green', 0.9027312397956848], ['Nature', 0.9025681018829346], ['Street-light', 0.896116316318512]]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CXVjZgEsoyt,2021-11-12,https://www.instagram.com/p/CXVjZgEsoyt/,https://instagram.fdel27-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/265430452_890759504958332_3837680468539488315_n.jpg?_nc_ht=instagram.fdel27-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=hmsj-n0V4F0AX8azQYi&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9_ZmwZxkMPa8IEfyiGfjfr7Mtp88sCXDYUZkWB3eHZmA&oe=61BC0CE3&_nc_sid=83d603,False,277,False,Fontana Di Trevi-Roma,"Rome, Italy",False,41.893344,12.483072,Rome,LAZIO,IT,False,False,False,C:\Docs\kitts\data\dump\travelitaly\Images\CXVjZgEsoyt.jpg,water photograph nature human travel sculpture art statue street-fashion leisure,"[['Water', 0.9799323081970215], ['Photograph', 0.942256510257721], ['Nature', 0.9002441763877869], ['Human', 0.8909574151039124], ['Travel', 0.846440315246582], ['Sculpture', 0.8424709439277649], ['Art', 0.8285483717918396], ['Statue', 0.8099136352539062], ['Street-fashion', 0.7867780923843384], ['Leisure', 0.7857459187507629]]",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
CXVjUDxg_iV,2021-11-12,https://www.instagram.com/p/CXVjUDxg_iV/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/265733620_306053988202713_3733693426204438145_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=pIZDG4Xik5oAX-Xs1c3&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9i6x0YmPZEVMI9DSeJdldbal5aa_7jwWzdTlVYs0ccxw&oe=61BD6B9A&_nc_sid=83d603,False,235,False,1889 Enoteca,Woolloongabba,False,-27.49994,153.0355,Brisbane,Queensland,AU,False,False,False,C:\Docs\kitts\data\dump\italia\Images\CXVjUDxg_iV.jpg,chair table building lighting ceiling art event city glass chandelier,"[['Chair', 0.9033185839653015], ['Table', 0.8780592083930969], ['Building', 0.8702093958854675], ['Lighting', 0.8659908771514893], ['Ceiling', 0.7428135275840759], ['Art', 0.7384505271911621], ['Event', 0.7330549359321594], ['City', 0.7076303362846375], ['Glass', 0.7075941562652588], ['Chandelier', 0.7031509280204773]]",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CXVf6bYo_FC,2021-11-12,https://www.instagram.com/p/CXVf6bYo_FC/,https://instagram.fdel1-5.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/265699965_589237248853916_2416388642675442664_n.jpg?_nc_ht=instagram.fdel1-5.fna.fbcdn.net&_nc_cat=108&_nc_ohc=u2ezlksS4-YAX9Nix8W&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8M2_OYVNRfbfl-Y8O1EOCKwObLDCvENg03ic0Fko2vFA&oe=61CE747F&_nc_sid=83d603,False,312,False,,,,,,,,,False,False,False,C:\Docs\kitts\data\dump\ancientrome\Images\CXVf6bYo_FC.jpg,head happy organism statue font art sculpture photo-caption history metal,"[['Head', 0.9724299907684326], ['Happy', 0.8630968928337097], ['Organism', 0.8551876544952393], ['Statue', 0.81202632188797], ['Font', 0.8090540170669556], ['Art', 0.7721114754676819], ['Sculpture', 0.7699805498123169], ['Photo-caption', 0.6987826228141785], ['History', 0.6617231965065002], ['Metal', 0.6567147970199585]]",False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
CXVXgTMsM-2,2021-11-12,https://www.instagram.com/p/CXVXgTMsM-2/,https://instagram.fdel27-3.fna.fbcdn.net/v/t51.2885-15/e35/265665720_367971335100848_4865599722545202594_n.jpg?_nc_ht=instagram.fdel27-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=YAbyrRsT5SIAX8SrGdd&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9wXVJubrfSipvyqTA6g6XT9k95_jAG_ZZMCVIcD6B5rQ&oe=61C6BE94&_nc_sid=83d603,False,310,False,Pantheon (Roma),"Rome, Italy",False,41.893344,12.483072,Rome,LAZIO,IT,False,False,False,C:\Docs\kitts\data\dump\italiancity\Images\CXVXgTMsM-2.jpg,cloud sky furniture building white table chair tower style line,"[['Cloud', 0.9684227705001831], ['Sky', 0.9446988105773926], ['Furniture', 0.9422574639320374], ['Building', 0.9409136772155762], ['White', 0.9218789935112], ['Table', 0.9018527865409851], ['Chair', 0.8956441879272461], ['Tower', 0.880346417427063], ['Style', 0.8396989703178406], ['Line', 0.8218094110488892]]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CXVWjgHNagv,2021-11-12,https://www.instagram.com/p/CXVWjgHNagv/,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/e35/265982161_195578636030800_2522171357330405106_n.jpg?_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=pw4eNaJOj0oAX_832dO&edm=AABBvjUBAAAA&ccb=7-4&oh=79cf3b5cc01f8d4a2f6a05d16ebfa2a4&oe=61BAFCF3&_nc_sid=83d603,False,0,False,,,,,,,,,False,False,False,C:\Docs\kitts\data\dump\italia\Images\CXVWjgHNagv.jpg,food pasta noodle recipe ingredient al-dente leaf-vegetable staple-food chinese-noodles rice-noodles,"[['Food', 0.9837130308151245], ['Pasta', 0.9048515558242798], ['Noodle', 0.8739717602729797], ['Recipe', 0.8719319105148315], ['Ingredient', 0.8718258738517761], ['Al-dente', 0.8711947202682495], ['Leaf-vegetable', 0.8358247876167297], ['Staple-food', 0.8186520934104919], ['Chinese-noodles', 0.8179694414138794], ['Rice-noodles', 0.7851774096488953]]",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CXVWjFEMhnv,2021-11-12,https://www.instagram.com/p/CXVWjFEMhnv/,https://instagram.fdel1-5.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/266643075_1586146158414576_1407356644039380834_n.jpg?_nc_ht=instagram.fdel1-5.fna.fbcdn.net&_nc_cat=100&_nc_ohc=URLo0CtvsD0AX9qGnIx&edm=AABBvjUBAAAA&ccb=7-4&oh=2ee325cc57be89ecd2dab0b7f2a39d93&oe=61BBCFBE&_nc_sid=83d603,False,2,False,PANINO.eat,"Cagliari, Italy",False,39.216953,9.112851,Cagliari,SARDINIA,IT,False,False,False,C:\Docs\kitts\data\dump\italia\Images\CXVWjFEMhnv.jpg,food tableware ingredient cuisine dish plate recipe alcoholic-beverage cooking drink,"[['Food', 0.9837214350700378], ['Tableware', 0.9680813550949097], ['Ingredient', 0.8712109327316284], ['Cuisine', 0.8407769203186035], ['Dish', 0.8290062546730042], ['Plate', 0.815478503704071], ['Recipe', 0.7637491226196289], ['Alcoholic-beverage', 0.7611237168312073], ['Cooking', 0.759449303150177], ['Drink', 0.7465710043907166]]",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CXVWadpKc2l,2021-11-12,https://www.instagram.com/p/CXVWadpKc2l/,https://instagram.fdel1-5.fna.fbcdn.net/v/t51.2885-15/e35/265611910_899518977595903_6444627147926231750_n.webp.jpg?_nc_ht=instagram.fdel1-5.fna.fbcdn.net&_nc_cat=107&_nc_ohc=34DwCycNs4gAX-m0fKf&edm=AABBvjUBAAAA&ccb=7-4&oh=d684280fbd9d48d12d2354314695b4ad&oe=61BB21BB&_nc_sid=83d603,False,0,False,"Lucca, Italy","Lucca, Italy",True,43.84283,10.50287,Lucca,TUSCANY,IT,False,False,False,C:\Docs\kitts\data\dump\italia\Images\CXVWadpKc2l.jpg,furniture plant table human fashion textile chair sunglasses comfort line,"[['Furniture', 0.9437090158462524], ['Plant', 0.9183078408241272], ['Table', 0.9042051434516907], ['Human', 0.8900027871131897], ['Fashion', 0.8823310136795044], ['Textile', 0.8773320913314819], ['Chair', 0.8627076148986816], ['Sunglasses', 0.8491886258125305], ['Comfort', 0.8434787392616272], ['Line', 0.8202539086341858]]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
